instruction,ISA,depend on macro,valid,why invalid,tested,comment
BX_IA_AAA,0,,Y,,0,
BX_IA_AAD,0,,Y,,0,
BX_IA_AAM,0,,Y,,0,
BX_IA_AAS,0,,Y,,0,
BX_IA_DAA,0,,Y,,0,
BX_IA_DAS,0,,Y,,0,
BX_IA_ADC_EbGb,0,,Y,,0,
BX_IA_AND_EbGb,0,,Y,,2701,
BX_IA_ADD_EbGb,0,,Y,,430,
BX_IA_CMP_EbGb,0,,Y,,822974,
BX_IA_OR_EbGb,0,,Y,,91491,
BX_IA_SBB_EbGb,0,,Y,,24,
BX_IA_SUB_EbGb,0,,Y,,0,
BX_IA_TEST_EbGb,0,,Y,,1628972,
BX_IA_XOR_EbGb,0,,Y,,35046,
BX_IA_ADC_EwGw,0,,Y,,0,
BX_IA_ADD_EwGw,0,,Y,,3683,
BX_IA_AND_EwGw,0,,Y,,24,
BX_IA_CMP_EwGw,0,,Y,,1737578,
BX_IA_OR_EwGw,0,,Y,,0,
BX_IA_SBB_EwGw,0,,Y,,0,
BX_IA_SUB_EwGw,0,,Y,,4,
BX_IA_TEST_EwGw,0,,Y,,104487,
BX_IA_XOR_EwGw,0,,Y,,208,
BX_IA_ADC_EdGd,0,,Y,,0,
BX_IA_ADD_EdGd,0,,Y,,3953232,
BX_IA_AND_EdGd,0,,Y,,642348,
BX_IA_CMP_EdGd,0,,Y,,23214049,
BX_IA_OR_EdGd,0,,Y,,902636,
BX_IA_SBB_EdGd,0,,Y,,502740,
BX_IA_SUB_EdGd,0,,Y,,2725282,
BX_IA_TEST_EdGd,0,,Y,,29627439,
BX_IA_XOR_EdGd,0,,Y,,12352521,
BX_IA_ADC_ALIb,0,,Y,,0,
BX_IA_ADD_ALIb,0,,Y,,26,
BX_IA_AND_ALIb,0,,Y,,412,
BX_IA_CMP_ALIb,0,,Y,,281906,
BX_IA_OR_ALIb,0,,Y,,1384,
BX_IA_SBB_ALIb,0,,Y,,0,
BX_IA_SUB_ALIb,0,,Y,,21,
BX_IA_TEST_ALIb,0,,Y,,1479247,
BX_IA_XOR_ALIb,0,,Y,,34,
BX_IA_ADC_AXIw,0,,Y,,0,
BX_IA_ADD_AXIw,0,,Y,,0,
BX_IA_AND_AXIw,0,,Y,,11154,
BX_IA_CMP_AXIw,0,,Y,,11330,
BX_IA_OR_AXIw,0,,Y,,0,
BX_IA_SBB_AXIw,0,,Y,,0,
BX_IA_SUB_AXIw,0,,Y,,241,
BX_IA_TEST_AXIw,0,,Y,,2590,
BX_IA_XOR_AXIw,0,,Y,,0,
BX_IA_ADC_EAXId,0,,Y,,0,
BX_IA_ADD_EAXId,0,,Y,,165442,
BX_IA_AND_EAXId,0,,Y,,326310,
BX_IA_CMP_EAXId,0,,Y,,453899,
BX_IA_OR_EAXId,0,,Y,,5819,
BX_IA_SBB_EAXId,0,,Y,,0,
BX_IA_SUB_EAXId,0,,Y,,256,
BX_IA_TEST_EAXId,0,,Y,,110061,
BX_IA_XOR_EAXId,0,,Y,,0,
BX_IA_ADD_EbIb,0,,Y,,58370,
BX_IA_OR_EbIb,0,,Y,,101986,
BX_IA_ADC_EbIb,0,,Y,,0,
BX_IA_SBB_EbIb,0,,Y,,0,
BX_IA_AND_EbIb,0,,Y,,247453,
BX_IA_SUB_EbIb,0,,Y,,1201,
BX_IA_XOR_EbIb,0,,Y,,590,
BX_IA_TEST_EbIb,0,,Y,,3853368,
BX_IA_CMP_EbIb,0,,Y,,2467324,
BX_IA_ADD_EwIw,0,,Y,,893852,
BX_IA_OR_EwIw,0,,Y,,24558,
BX_IA_ADC_EwIw,0,,Y,,0,
BX_IA_SBB_EwIw,0,,Y,,0,
BX_IA_AND_EwIw,0,,Y,,12537,
BX_IA_SUB_EwIw,0,,Y,,3255,
BX_IA_XOR_EwIw,0,,Y,,0,
BX_IA_TEST_EwIw,0,,Y,,107269,
BX_IA_CMP_EwIw,0,,Y,,578963,
BX_IA_ADD_EdId,0,,Y,,8042822,
BX_IA_OR_EdId,0,,Y,,329480,
BX_IA_ADC_EdId,0,,Y,,6633,
BX_IA_SBB_EdId,0,,Y,,621356,
BX_IA_AND_EdId,0,,Y,,3886990,
BX_IA_SUB_EdId,0,,Y,,2581774,
BX_IA_XOR_EdId,0,,Y,,67728,
BX_IA_TEST_EdId,0,,Y,,779305,
BX_IA_CMP_EdId,0,,Y,,7601941,
BX_IA_ADD_GbEb,0,,Y,,4,
BX_IA_OR_GbEb,0,,Y,,1952,
BX_IA_ADC_GbEb,0,,Y,,0,
BX_IA_SBB_GbEb,0,,Y,,0,
BX_IA_AND_GbEb,0,,Y,,162,
BX_IA_SUB_GbEb,0,,Y,,21,
BX_IA_XOR_GbEb,0,,Y,,185636,
BX_IA_CMP_GbEb,0,,Y,,82233,
BX_IA_ADC_GwEw,0,,Y,,0,
BX_IA_ADD_GwEw,0,,Y,,909,
BX_IA_AND_GwEw,0,,Y,,3831,
BX_IA_CMP_GwEw,0,,Y,,107610,
BX_IA_OR_GwEw,0,,Y,,59004,
BX_IA_SBB_GwEw,0,,Y,,0,
BX_IA_SUB_GwEw,0,,Y,,8738,
BX_IA_XOR_GwEw,0,,Y,,2309,
BX_IA_ADC_GdEd,0,,Y,,0,
BX_IA_ADD_GdEd,0,,Y,,3983210,
BX_IA_AND_GdEd,0,,Y,,83382,
BX_IA_CMP_GdEd,0,,Y,,1807214,
BX_IA_OR_GdEd,0,,Y,,132661,
BX_IA_SBB_GdEd,0,,Y,,1075,
BX_IA_SUB_GdEd,0,,Y,,256936,
BX_IA_XOR_GdEd,0,,Y,,805627,
BX_IA_INC_Eb,0,,Y,,49795,
BX_IA_INC_Ew,0,,Y,,134,
BX_IA_INC_Ed,0,,Y,,780226,
BX_IA_DEC_Eb,0,,Y,,19908,
BX_IA_DEC_Ew,0,,Y,,251,
BX_IA_DEC_Ed,0,,Y,,310353,
BX_IA_BSF_GwEw,0,,Y,,0,
